Site	Sample depth	Age	Mg/Ca	Mg/Ca adj.	Taxa	Paleodepth	Reference	
DSDP607	128.300	3.014	1.63	2.25	Cibicidoides wuellerstorfi	3398	SosdianRosenthal09
DSDP607	128.500	3.023	1.56	2.15	Cibicidoides wuellerstorfi	3397	SosdianRosenthal09
DSDP607	128.700	3.026	1.68	2.32	Cibicidoides wuellerstorfi	3397	SosdianRosenthal09
DSDP607	128.800	3.030	1.81	2.50	Cibicidoides wuellerstorfi	3397	SosdianRosenthal09
ODP0757	18.200	3.032	2.05	2.28	Cibicidoides wuellerstorfi/Cibicidoides mundulus	1612	BillupsSchrag03
DSDP607	129.000	3.034	2.17	3.00	Cibicidoides wuellerstorfi	3397	SosdianRosenthal09
DSDP607	129.100	3.038	1.72	2.37	Cibicidoides wuellerstorfi	3397	SosdianRosenthal09
DSDP607	129.300	3.043	1.86	2.57	Cibicidoides wuellerstorfi	3397	SosdianRosenthal09
DSDP607	129.500	3.046	1.63	2.25	Cibicidoides wuellerstorfi	3397	SosdianRosenthal09
DSDP607	129.600	3.050	1.69	2.33	Cibicidoides wuellerstorfi	3397	SosdianRosenthal09
DSDP607	129.800	3.054	1.73	2.39	Cibicidoides wuellerstorfi	3397	SosdianRosenthal09
DSDP607	129.900	3.056	2.01	2.78	Cibicidoides wuellerstorfi	3397	SosdianRosenthal09
DSDP607	130.100	3.060	1.71	2.36	Cibicidoides wuellerstorfi	3397	SosdianRosenthal09
DSDP607	130.200	3.063	1.69	2.33	Cibicidoides wuellerstorfi	3397	SosdianRosenthal09
DSDP607	130.400	3.066	1.85	2.55	Cibicidoides wuellerstorfi	3397	SosdianRosenthal09
DSDP607	130.500	3.070	1.91	2.64	Cibicidoides wuellerstorfi	3397	SosdianRosenthal09
ODP0926	95.590	3.072	1.26	1.77	Cibicidoides wuellerstorfi	3632	LearRosenthalWright03
ODP0926	95.590	3.072	1.64	1.83	Oridorsalis umbonatus	3632	LearRosenthalWright03
DSDP607	130.700	3.074	1.75	2.41	Cibicidoides wuellerstorfi	3397	SosdianRosenthal09
DSDP607	130.800	3.079	1.94	2.68	Cibicidoides wuellerstorfi	3397	SosdianRosenthal09
DSDP607	131.100	3.086	1.97	2.72	Cibicidoides wuellerstorfi	3397	SosdianRosenthal09
ODP1088	27.840	3.086			Cibicidoides wuellerstorfi	2088	BillupsScheiderich10
DSDP607	131.300	3.089	1.93	2.67	Cibicidoides wuellerstorfi	3397	SosdianRosenthal09
DSDP607	131.500	3.094	1.83	2.53	Cibicidoides wuellerstorfi	3397	SosdianRosenthal09
DSDP607	131.800	3.104	1.72	2.37	Cibicidoides wuellerstorfi	3396	SosdianRosenthal09
DSDP607	131.900	3.107	2.08	2.88	Cibicidoides wuellerstorfi	3396	SosdianRosenthal09
ODP0747		3.123	1.12	1.29	Cibicidoides wuellerstorfi	1702	BillupsSchrag02
ODP1088	28.240	3.131			Cibicidoides wuellerstorfi	2088	BillupsScheiderich10
ODP0806	72.960	3.132	1.52	1.95	Cibicidoides wuellerstorfi	2565	LearRosenthalWright03
ODP0806	72.960	3.132	1.71	1.76	Oridorsalis umbonatus	2565	LearRosenthalWright03
ODP1088	28.340	3.142	1.66	2.09	Cibicidoides wuellerstorfi	2089	BillupsScheiderich10
ODP1088	28.340	3.142	1.42	1.75	Cibicidoides wuellerstorfi	2089	BillupsScheiderich10
DSDP607	132.900	3.145	1.71	2.36	Cibicidoides wuellerstorfi	3395	SosdianRosenthal09
DSDP607	133.000	3.147	2.03	2.80	Cibicidoides wuellerstorfi	3395	SosdianRosenthal09
DSDP607	133.100	3.150	2.09	2.89	Cibicidoides wuellerstorfi	3395	SosdianRosenthal09
ODP1088	28.440	3.153	1.65	2.07	Cibicidoides wuellerstorfi	2089	BillupsScheiderich10
DSDP607	133.400	3.154	2.10	2.90	Cibicidoides wuellerstorfi	3395	SosdianRosenthal09
DSDP607	133.500	3.157	1.81	2.50	Cibicidoides wuellerstorfi	3395	SosdianRosenthal09
ODP1088	28.590	3.170			Cibicidoides wuellerstorfi	2089	BillupsScheiderich10
ODP1088	28.640	3.175	1.59	1.99	Cibicidoides wuellerstorfi	2089	BillupsScheiderich10
ODP1088	28.740	3.186	1.45	1.79	Cibicidoides wuellerstorfi	2089	BillupsScheiderich10
ODP1088	28.930	3.208	2.20	2.84	Cibicidoides wuellerstorfi	2089	BillupsScheiderich10
ODP1088	29.040	3.220	1.87	2.38	Cibicidoides wuellerstorfi	2089	BillupsScheiderich10
ODP1088	29.140	3.231	1.63	2.05	Cibicidoides wuellerstorfi	2089	BillupsScheiderich10
ODP1088	29.340	3.253			Cibicidoides wuellerstorfi	2089	BillupsScheiderich10
ODP1088	29.740	3.298			Cibicidoides wuellerstorfi	2089	BillupsScheiderich10
ODP1088	30.090	3.337			Cibicidoides wuellerstorfi	2089	BillupsScheiderich10
ODP0926	105.130	3.365	1.62	1.81	Oridorsalis umbonatus	3636	LearRosenthalWright03
ODP0926	105.130	3.365	1.25	1.76	Cibicidoides wuellerstorfi	3636	LearRosenthalWright03
ODP1088	30.430	3.375			Cibicidoides wuellerstorfi	2089	BillupsScheiderich10
ODP0747		3.381	1.07	1.22	Cibicidoides wuellerstorfi	1702	BillupsSchrag02
ODP1088	30.540	3.387	1.60	2.00	Cibicidoides wuellerstorfi	2089	BillupsScheiderich10
ODP1088	30.740	3.410	1.78	2.26	Cibicidoides wuellerstorfi	2089	BillupsScheiderich10
ODP1088	30.840	3.421			Cibicidoides wuellerstorfi	2089	BillupsScheiderich10
ODP0806	79.680	3.439	1.33	1.68	Cibicidoides wuellerstorfi	2569	LearRosenthalWright03
ODP0806	79.680	3.439	1.53	1.58	Oridorsalis umbonatus	2569	LearRosenthalWright03
ODP1088	31.040	3.443	1.84	2.34	Cibicidoides wuellerstorfi	2089	BillupsScheiderich10
ODP1088	31.040	3.443	1.29	1.57	Cibicidoides wuellerstorfi	2089	BillupsScheiderich10
ODP1088	31.040	3.443	1.67	2.10	Cibicidoides wuellerstorfi	2089	BillupsScheiderich10
ODP1088	31.140	3.454	1.36	1.67	Cibicidoides wuellerstorfi	2089	BillupsScheiderich10
ODP0926	108.130	3.458	1.71	1.90	Oridorsalis umbonatus	3637	LearRosenthalWright03
ODP0926	108.130	3.458	1.25	1.76	Cibicidoides wuellerstorfi	3637	LearRosenthalWright03
ODP1088	31.240	3.466			Cibicidoides wuellerstorfi	2089	BillupsScheiderich10
ODP1088	31.340	3.477			Cibicidoides wuellerstorfi	2089	BillupsScheiderich10
ODP1088	31.540	3.499	1.75	2.21	Cibicidoides wuellerstorfi	2089	BillupsScheiderich10
ODP1088	31.540	3.499	1.64	2.06	Cibicidoides wuellerstorfi	2089	BillupsScheiderich10
ODP1088	31.590	3.505			Cibicidoides wuellerstorfi	2089	BillupsScheiderich10
ODP1088	31.640	3.510	1.80	2.28	Cibicidoides wuellerstorfi	2089	BillupsScheiderich10
ODP1088	31.740	3.521	1.97	2.52	Cibicidoides wuellerstorfi	2089	BillupsScheiderich10
ODP1088	31.930	3.543	1.52	1.89	Cibicidoides wuellerstorfi	2089	BillupsScheiderich10
ODP1088	31.930	3.543	1.44	1.78	Cibicidoides wuellerstorfi	2089	BillupsScheiderich10
ODP1088	32.340	3.589			Cibicidoides wuellerstorfi	2089	BillupsScheiderich10
ODP1088	32.740	3.633			Cibicidoides wuellerstorfi	2089	BillupsScheiderich10
ODP1088	33.090	3.676			Cibicidoides wuellerstorfi	2089	BillupsScheiderich10
ODP0806	86.200	3.720	1.39	1.77	Cibicidoides wuellerstorfi	2573	LearRosenthalWright03
ODP0806	86.200	3.720	1.73	1.78	Oridorsalis umbonatus	2573	LearRosenthalWright03
ODP0926	116.440	3.726	1.34	1.89	Cibicidoides wuellerstorfi	3639	LearRosenthalWright03
ODP0926	116.440	3.726	1.47	1.66	Oridorsalis umbonatus	3639	LearRosenthalWright03
ODP0747		3.770	1.76	2.19	Cibicidoides wuellerstorfi	1703	BillupsSchrag02
ODP0757	23.400	3.773	2.03	2.55	Cibicidoides wuellerstorfi	1603	BillupsSchrag03
ODP0757	23.400	3.773	1.92	2.40	Cibicidoides wuellerstorfi	1603	BillupsSchrag03
ODP1088	33.840	3.784			Cibicidoides wuellerstorfi	2090	BillupsScheiderich10
ODP0806	101.660	3.792	1.57	1.62	Oridorsalis umbonatus	2583	LearRosenthalWright03
ODP0806	101.660	3.792	1.45	1.85	Cibicidoides wuellerstorfi	2583	LearRosenthalWright03
ODP1088	34.000	3.807			Cibicidoides wuellerstorfi	2090	BillupsScheiderich10
ODP0757	24.000	3.832	2.20	2.79	Cibicidoides wuellerstorfi	1602	BillupsSchrag03
ODP0757	24.000	3.832	2.12	2.68	Cibicidoides wuellerstorfi	1602	BillupsSchrag03
ODP1088	34.590	3.892			Cibicidoides wuellerstorfi	2090	BillupsScheiderich10
ODP0806	108.160	3.954	1.73	1.78	Oridorsalis umbonatus	2588	LearRosenthalWright03
ODP0806	108.160	3.954	1.39	1.77	Cibicidoides wuellerstorfi	2588	LearRosenthalWright03
ODP1088	35.090	3.964	1.90	2.42	Cibicidoides wuellerstorfi	2090	BillupsScheiderich10
ODP0806	92.660	3.992	1.50	1.92	Cibicidoides wuellerstorfi	2577	LearRosenthalWright03
ODP0806	92.660	3.992	1.69	1.74	Oridorsalis umbonatus	2577	LearRosenthalWright03
ODP0926	125.730	4.014	1.57	1.76	Oridorsalis umbonatus	3643	LearRosenthalWright03
ODP0926	125.730	4.014	1.27	1.79	Cibicidoides wuellerstorfi	3643	LearRosenthalWright03
ODP1088	35.540	4.028			Cibicidoides wuellerstorfi	2090	BillupsScheiderich10
ODP0747		4.035	1.66	2.05	Cibicidoides wuellerstorfi	1703	BillupsSchrag02
ODP1088	35.640	4.043			Cibicidoides wuellerstorfi	2090	BillupsScheiderich10
ODP1088	35.650	4.044			Cibicidoides wuellerstorfi	2090	BillupsScheiderich10
ODP1088	35.740	4.057			Cibicidoides wuellerstorfi	2090	BillupsScheiderich10
ODP1088	35.840	4.071	2.07	2.66	Cibicidoides wuellerstorfi	2090	BillupsScheiderich10
ODP1088	35.940	4.086			Cibicidoides wuellerstorfi	2090	BillupsScheiderich10
ODP1088	36.040	4.100			Cibicidoides wuellerstorfi	2090	BillupsScheiderich10
ODP1088	36.240	4.129			Cibicidoides wuellerstorfi	2090	BillupsScheiderich10
ODP1088	36.590	4.179			Cibicidoides wuellerstorfi	2090	BillupsScheiderich10
ODP1088	36.840	4.215			Cibicidoides wuellerstorfi	2090	BillupsScheiderich10
ODP1088	37.140	4.258			Cibicidoides wuellerstorfi	2090	BillupsScheiderich10
ODP0806	120.560	4.260	1.49	1.91	Cibicidoides wuellerstorfi	2595	LearRosenthalWright03
ODP0806	120.560	4.260	1.82	1.87	Oridorsalis umbonatus	2595	LearRosenthalWright03
DSDP573	57.000	4.262	0.68	1.72	Nuttallides umbonifera	4224	LearElderfieldOthers00
DSDP573	57.000	4.262	0.50	1.52	Nuttallides umbonifera	4224	LearElderfieldOthers00
ODP1088	37.230	4.271			Cibicidoides wuellerstorfi	2090	BillupsScheiderich10
ODP1088	37.340	4.287			Cibicidoides wuellerstorfi	2090	BillupsScheiderich10
ODP0757	28.500	4.290	2.42	2.72	Cibicidoides wuellerstorfi/Cibicidoides mundulus	1597	BillupsSchrag03
ODP1088	37.440	4.302			Cibicidoides wuellerstorfi	2090	BillupsScheiderich10
ODP0747		4.311	1.57	1.92	Cibicidoides wuellerstorfi	1704	BillupsSchrag02
ODP1088	37.540	4.316			Cibicidoides wuellerstorfi	2090	BillupsScheiderich10
ODP0926	135.890	4.330	1.65	1.84	Oridorsalis umbonatus	3646	LearRosenthalWright03
ODP0926	135.890	4.330	1.15	1.62	Cibicidoides wuellerstorfi	3646	LearRosenthalWright03
ODP1088	37.740	4.345			Cibicidoides wuellerstorfi	2090	BillupsScheiderich10
ODP0806	124.280	4.363	1.66	1.91	Cibicidoides mundulus	2598	LearRosenthalWright03
ODP0806	124.280	4.363	1.74	1.80	Oridorsalis umbonatus	2598	LearRosenthalWright03
ODP1088	38.090	4.395	1.85	2.35	Cibicidoides wuellerstorfi	2090	BillupsScheiderich10
ODP1088	38.240	4.417			Cibicidoides wuellerstorfi	2090	BillupsScheiderich10
ODP1088	38.340	4.431			Cibicidoides wuellerstorfi	2090	BillupsScheiderich10
ODP1088	38.540	4.460			Cibicidoides wuellerstorfi	2090	BillupsScheiderich10
ODP1088	38.630	4.473	1.82	2.31	Cibicidoides wuellerstorfi	2090	BillupsScheiderich10
ODP1088	38.840	4.503			Cibicidoides wuellerstorfi	2090	BillupsScheiderich10
ODP0926	141.370	4.515	1.83	2.28	Cibicidoides mundulus	3648	LearRosenthalWright03
ODP0926	141.370	4.515	1.68	1.87	Oridorsalis umbonatus	3648	LearRosenthalWright03
ODP0747		4.580	1.59	1.95	Cibicidoides wuellerstorfi	1704	BillupsSchrag02
ODP1088	39.590	4.611			Cibicidoides wuellerstorfi	2090	BillupsScheiderich10
ODP0806	133.660	4.617	1.62	1.86	Cibicidoides mundulus	2604	LearRosenthalWright03
ODP0806	133.660	4.617	1.55	2.00	Cibicidoides wuellerstorfi	2604	LearRosenthalWright03
ODP0806	133.660	4.617	1.89	1.95	Oridorsalis umbonatus	2604	LearRosenthalWright03
ODP0806	133.660	4.617	1.24	2.08	Nuttallides umbonifera	2604	LearRosenthalWright03
ODP1088	39.840	4.647			Cibicidoides wuellerstorfi	2090	BillupsScheiderich10
ODP1088	40.030	4.674	1.40	1.72	Cibicidoides wuellerstorfi	2090	BillupsScheiderich10
ODP1088	40.340	4.719			Cibicidoides wuellerstorfi	2090	BillupsScheiderich10
ODP1088	40.740	4.776			Cibicidoides wuellerstorfi	2090	BillupsScheiderich10
ODP1088	40.740	4.776	1.41	1.74	Cibicidoides wuellerstorfi	2090	BillupsScheiderich10
ODP0926	147.890	4.791	1.41	1.98	Cibicidoides wuellerstorfi	3649	LearRosenthalWright03
ODP0926	147.890	4.791	1.78	1.97	Oridorsalis umbonatus	3649	LearRosenthalWright03
ODP0757	33.600	4.799	1.93	2.41	Cibicidoides wuellerstorfi	1591	BillupsSchrag03
ODP0757	33.600	4.799	1.94	2.43	Cibicidoides wuellerstorfi	1591	BillupsSchrag03
ODP0757	33.600	4.799	2.05	2.58	Cibicidoides wuellerstorfi	1591	BillupsSchrag03
ODP1088	41.090	4.827			Cibicidoides wuellerstorfi	2090	BillupsScheiderich10
ODP1088	41.340	4.863	1.45	1.79	Cibicidoides wuellerstorfi	2090	BillupsScheiderich10
ODP0747		4.866	1.98	2.49	Cibicidoides wuellerstorfi	1705	BillupsSchrag02
ODP0806	143.160	4.867	2.02	2.08	Oridorsalis umbonatus	2609	LearRosenthalWright03
ODP0806	143.160	4.867	1.51	1.94	Cibicidoides wuellerstorfi	2609	LearRosenthalWright03
ODP0806	143.160	4.867	1.84	2.13	Cibicidoides mundulus	2609	LearRosenthalWright03
ODP1088	41.540	4.891	1.97	2.52	Cibicidoides wuellerstorfi	2090	BillupsScheiderich10
DSDP573	66.510	4.896	0.73	1.77	Nuttallides umbonifera	4212	LearElderfieldOthers00
DSDP573	66.510	4.896			Cibicidoides wuellerstorfi	4212	LearElderfieldOthers00
ODP1088	41.840	4.934			Cibicidoides wuellerstorfi	2090	BillupsScheiderich10
ODP1088	42.240	4.992	2.61	3.42	Cibicidoides wuellerstorfi	2090	BillupsScheiderich10
ODP0926	153.940	5.003	1.08	2.05	Nuttallides umbonifera	3651	LearRosenthalWright03
ODP0926	153.940	5.003	1.69	1.88	Oridorsalis umbonatus	3651	LearRosenthalWright03
ODP1088	42.590	5.042	2.71	3.56	Cibicidoides wuellerstorfi	2090	BillupsScheiderich10
ODP1088	42.640	5.050	2.51	3.28	Cibicidoides wuellerstorfi	2090	BillupsScheiderich10
ODP1088	42.740	5.064			Cibicidoides wuellerstorfi	2090	BillupsScheiderich10
ODP0926	156.150	5.099	1.32	1.87	Cibicidoides wuellerstorfi	3652	LearRosenthalWright03
ODP0926	156.150	5.099	1.71	1.90	Oridorsalis umbonatus	3652	LearRosenthalWright03
ODP1088	42.990	5.100	2.15	2.77	Cibicidoides wuellerstorfi	2090	BillupsScheiderich10
ODP0806	152.660	5.103	1.64	1.89	Cibicidoides mundulus	2615	LearRosenthalWright03
ODP0806	152.660	5.103	1.62	2.09	Cibicidoides wuellerstorfi	2615	LearRosenthalWright03
ODP0806	152.660	5.103	1.45	1.87	Cibicidoides wuellerstorfi	2615	LearRosenthalWright03
ODP0806	152.660	5.103			Cibicidoides mundulus	2615	LearRosenthalWright03
ODP0806	152.660	5.103	1.89	1.95	Oridorsalis umbonatus	2615	LearRosenthalWright03
ODP0806	152.660	5.103	2.02	2.08	Oridorsalis umbonatus	2615	LearRosenthalWright03
ODP0757	36.600	5.111	1.97	2.47	Cibicidoides wuellerstorfi	1588	BillupsSchrag03
ODP0757	36.600	5.111	2.28	2.90	Cibicidoides wuellerstorfi	1588	BillupsSchrag03
ODP0926	157.040	5.136	1.77	1.96	Oridorsalis umbonatus	3652	LearRosenthalWright03
ODP0926	157.040	5.136	1.47	1.84	Cibicidoides mundulus	3652	LearRosenthalWright03
ODP0747		5.161	1.77	2.20	Cibicidoides wuellerstorfi	1705	BillupsSchrag02
ODP1088	43.500	5.173			Cibicidoides wuellerstorfi	2090	BillupsScheiderich10
ODP0926	158.430	5.198	1.98	2.17	Oridorsalis umbonatus	3652	LearRosenthalWright03
ODP0926	158.430	5.198	1.38	1.95	Cibicidoides wuellerstorfi	3652	LearRosenthalWright03
ODP0926	158.430	5.198	1.75	2.18	Cibicidoides mundulus	3652	LearRosenthalWright03
ODP0926	158.430	5.198			Cibicidoides bradyi	3652	LearRosenthalWright03
ODP1088	43.840	5.222			Cibicidoides wuellerstorfi	2090	BillupsScheiderich10
ODP0757	37.740	5.225	1.86	2.31	Cibicidoides wuellerstorfi	1586	BillupsSchrag03
ODP0757	37.740	5.225	2.17	2.75	Cibicidoides wuellerstorfi	1586	BillupsSchrag03
ODP1088	44.130	5.264	1.65	2.07	Cibicidoides wuellerstorfi	2090	BillupsScheiderich10
ODP1088	44.240	5.280			Cibicidoides wuellerstorfi	2090	BillupsScheiderich10
ODP0926	160.730	5.306	1.59	1.99	Cibicidoides mundulus	3652	LearRosenthalWright03
ODP0926	160.730	5.306	1.40	1.97	Cibicidoides wuellerstorfi	3652	LearRosenthalWright03
ODP0926	160.730	5.306	1.72	1.91	Oridorsalis umbonatus	3652	LearRosenthalWright03
ODP1088	44.440	5.308	1.77	2.24	Cibicidoides wuellerstorfi	2090	BillupsScheiderich10
ODP1088	44.540	5.323	1.60	2.00	Cibicidoides wuellerstorfi	2090	BillupsScheiderich10
ODP1088	44.590	5.330			Cibicidoides wuellerstorfi	2090	BillupsScheiderich10
ODP1088	44.740	5.352	1.92	2.45	Cibicidoides wuellerstorfi	2090	BillupsScheiderich10
ODP0806	162.160	5.359	1.42	1.82	Cibicidoides wuellerstorfi	2621	LearRosenthalWright03
ODP0806	162.160	5.359	2.13	2.19	Oridorsalis umbonatus	2621	LearRosenthalWright03
ODP0806	162.160	5.359	1.76	2.04	Cibicidoides mundulus	2621	LearRosenthalWright03
ODP1088	44.830	5.365			Cibicidoides wuellerstorfi	2090	BillupsScheiderich10
ODP1088	45.040	5.395			Cibicidoides wuellerstorfi	2090	BillupsScheiderich10
ODP1088	45.150	5.411	1.32	1.61	Cibicidoides wuellerstorfi	2090	BillupsScheiderich10
ODP0926	162.830	5.417	1.86	2.05	Oridorsalis umbonatus	3653	LearRosenthalWright03
ODP1088	45.340	5.438			Cibicidoides wuellerstorfi	2090	BillupsScheiderich10
ODP1088	45.540	5.467	1.85	2.35	Cibicidoides wuellerstorfi	2090	BillupsScheiderich10
ODP1088	45.540	5.467	1.63	2.05	Cibicidoides wuellerstorfi	2090	BillupsScheiderich10
ODP1088	45.740	5.495			Cibicidoides wuellerstorfi	2090	BillupsScheiderich10
ODP0757	41.100	5.511	2.05	2.28	Cibicidoides wuellerstorfi/Cibicidoides mundulus	1583	BillupsSchrag03
ODP1088	45.940	5.524	1.57	1.96	Cibicidoides wuellerstorfi	2090	BillupsScheiderich10
ODP1088	45.940	5.524	1.72	2.17	Cibicidoides wuellerstorfi	2090	BillupsScheiderich10
ODP0926	164.910	5.527	1.54	2.17	Cibicidoides wuellerstorfi	3653	LearRosenthalWright03
ODP0926	164.910	5.527	1.75	1.94	Oridorsalis umbonatus	3653	LearRosenthalWright03
ODP1088	46.090	5.543			Cibicidoides wuellerstorfi	2090	BillupsScheiderich10
ODP1088	46.230	5.553	1.64	2.06	Cibicidoides wuellerstorfi	2090	BillupsScheiderich10
ODP1088	46.340	5.561	1.71	2.16	Cibicidoides wuellerstorfi	2090	BillupsScheiderich10
ODP1088	46.540	5.576			Cibicidoides wuellerstorfi	2090	BillupsScheiderich10
ODP1088	46.840	5.598			Cibicidoides wuellerstorfi	2090	BillupsScheiderich10
ODP1088	47.140	5.620	1.81	2.30	Cibicidoides wuellerstorfi	2091	BillupsScheiderich10
ODP1088	47.240	5.627			Cibicidoides wuellerstorfi	2091	BillupsScheiderich10
ODP0926	167.110	5.642	1.61	2.01	Cibicidoides mundulus	3653	LearRosenthalWright03
ODP0926	167.110	5.642	1.49	2.10	Cibicidoides wuellerstorfi	3653	LearRosenthalWright03
ODP1088	47.440	5.642	1.76	2.23	Cibicidoides wuellerstorfi	2091	BillupsScheiderich10
ODP1088	47.590	5.653			Cibicidoides wuellerstorfi	2091	BillupsScheiderich10
ODP0806	171.660	5.658	1.40	1.80	Cibicidoides wuellerstorfi	2627	LearRosenthalWright03
ODP0806	171.660	5.658	1.46	1.68	Cibicidoides mundulus	2627	LearRosenthalWright03
ODP1088	47.740	5.664			Cibicidoides wuellerstorfi	2091	BillupsScheiderich10
ODP1088	47.840	5.671			Cibicidoides wuellerstorfi	2091	BillupsScheiderich10
ODP1088	48.040	5.686			Cibicidoides wuellerstorfi	2091	BillupsScheiderich10
ODP1088	48.240	5.701	2.10	2.70	Cibicidoides wuellerstorfi	2091	BillupsScheiderich10
ODP1088	48.240	5.701			Cibicidoides wuellerstorfi	2091	BillupsScheiderich10
ODP1088	48.340	5.708			Cibicidoides wuellerstorfi	2091	BillupsScheiderich10
ODP1088	48.440	5.715			Cibicidoides wuellerstorfi	2091	BillupsScheiderich10
ODP1088	48.540	5.723	1.81	2.30	Cibicidoides wuellerstorfi	2091	BillupsScheiderich10
ODP1088	48.540	5.723			Cibicidoides wuellerstorfi	2091	BillupsScheiderich10
ODP1088	48.640	5.730	1.72	2.17	Cibicidoides wuellerstorfi	2091	BillupsScheiderich10
ODP1088	48.740	5.737			Cibicidoides wuellerstorfi	2091	BillupsScheiderich10
ODP1088	48.940	5.752	1.62	2.03	Cibicidoides wuellerstorfi	2091	BillupsScheiderich10
ODP0926	169.210	5.754	0.76	1.70	Nuttallides umbonifera	3653	LearRosenthalWright03
ODP1088	49.090	5.763			Cibicidoides wuellerstorfi	2091	BillupsScheiderich10
ODP1088	49.240	5.774	1.79	2.27	Cibicidoides wuellerstorfi	2091	BillupsScheiderich10
ODP1088	49.240	5.774	1.52	1.89	Cibicidoides wuellerstorfi	2091	BillupsScheiderich10
ODP1088	49.340	5.781			Cibicidoides wuellerstorfi	2091	BillupsScheiderich10
ODP1088	49.540	5.796			Cibicidoides wuellerstorfi	2091	BillupsScheiderich10
ODP1088	49.840	5.818	1.91	2.44	Cibicidoides wuellerstorfi	2091	BillupsScheiderich10
ODP1088	50.240	5.847			Cibicidoides wuellerstorfi	2092	BillupsScheiderich10
ODP0926	171.540	5.867	1.57	1.96	Cibicidoides mundulus	3654	LearRosenthalWright03
ODP0926	171.540	5.867	1.79	1.98	Oridorsalis umbonatus	3654	LearRosenthalWright03
ODP0926	171.540	5.867	1.22	1.72	Cibicidoides wuellerstorfi	3654	LearRosenthalWright03
ODP1088	50.590	5.873			Cibicidoides wuellerstorfi	2092	BillupsScheiderich10
ODP1088	50.740	5.884	1.62	2.03	Cibicidoides wuellerstorfi	2092	BillupsScheiderich10
ODP1088	50.840	5.891			Cibicidoides wuellerstorfi	2092	BillupsScheiderich10
ODP1088	51.040	5.906	1.66	2.09	Cibicidoides wuellerstorfi	2092	BillupsScheiderich10
ODP1088	51.040	5.906	1.73	2.19	Cibicidoides wuellerstorfi	2092	BillupsScheiderich10
ODP1088	51.340	5.928	1.73	2.19	Cibicidoides wuellerstorfi	2092	BillupsScheiderich10
ODP1088	51.440	5.935	1.64	2.06	Cibicidoides wuellerstorfi	2092	BillupsScheiderich10
ODP0806	181.160	5.958	1.52	1.96	Cibicidoides wuellerstorfi	2633	LearRosenthalWright03
ODP0806	181.160	5.958	2.02	2.08	Oridorsalis umbonatus	2633	LearRosenthalWright03
ODP0806	181.160	5.958	1.53	1.98	Cibicidoides wuellerstorfi	2633	LearRosenthalWright03
ODP0806	181.160	5.958	1.68	1.94	Cibicidoides mundulus	2633	LearRosenthalWright03
ODP1088	51.940	5.972	1.79	2.27	Cibicidoides wuellerstorfi	2092	BillupsScheiderich10
ODP0926	173.940	5.979	1.51	1.70	Oridorsalis umbonatus	3654	LearRosenthalWright03
ODP0926	173.940	5.979	1.21	1.71	Cibicidoides wuellerstorfi	3654	LearRosenthalWright03
ODP0926	173.940	5.979			Melonis barleeanus	3654	LearRosenthalWright03
ODP0926	173.940	5.979	0.90	1.85	Nuttallides umbonifera	3654	LearRosenthalWright03
ODP1088	52.040	5.979	1.76	2.23	Cibicidoides wuellerstorfi	2092	BillupsScheiderich10
ODP1088	52.090	5.983			Cibicidoides wuellerstorfi	2092	BillupsScheiderich10
ODP1088	52.140	5.986			Cibicidoides wuellerstorfi	2092	BillupsScheiderich10
ODP1088	52.230	5.993			Cibicidoides wuellerstorfi	2092	BillupsScheiderich10
ODP1088	52.340	6.001	1.82	2.31	Cibicidoides wuellerstorfi	2092	BillupsScheiderich10
ODP1088	52.340	6.001	1.77	2.24	Cibicidoides wuellerstorfi	2092	BillupsScheiderich10
ODP1088	52.530	6.015	1.80	2.28	Cibicidoides wuellerstorfi	2092	BillupsScheiderich10
ODP1088	53.000	6.049			Cibicidoides wuellerstorfi	2093	BillupsScheiderich10
ODP1088	53.040	6.052			Cibicidoides wuellerstorfi	2093	BillupsScheiderich10
ODP1088	53.140	6.060	1.88	2.40	Cibicidoides wuellerstorfi	2093	BillupsScheiderich10
ODP1088	53.140	6.060	1.86	2.37	Cibicidoides wuellerstorfi	2093	BillupsScheiderich10
ODP1088	53.240	6.067			Cibicidoides wuellerstorfi	2093	BillupsScheiderich10
ODP0926	175.930	6.072	1.27	1.80	Cibicidoides wuellerstorfi	3654	LearRosenthalWright03
ODP0926	175.930	6.072	1.82	2.01	Oridorsalis umbonatus	3654	LearRosenthalWright03
ODP1088	53.340	6.074			Cibicidoides wuellerstorfi	2093	BillupsScheiderich10
ODP1088	53.440	6.082	1.75	2.21	Cibicidoides wuellerstorfi	2093	BillupsScheiderich10
ODP0926	176.190	6.083	1.77	1.96	Oridorsalis umbonatus	3654	LearRosenthalWright03
ODP0926	176.190	6.083	1.59	1.78	Oridorsalis umbonatus	3654	LearRosenthalWright03
ODP0926	176.190	6.083			Gyroidina soldanii	3654	LearRosenthalWright03
ODP0926	176.190	6.083			Pullenia bulloides	3654	LearRosenthalWright03
ODP0926	176.190	6.083			Melonis pompilioides	3654	LearRosenthalWright03
ODP0926	176.190	6.083			Cibicidoides bradyi	3654	LearRosenthalWright03
ODP0926	176.190	6.083	0.96	1.92	Nuttallides umbonifera	3654	LearRosenthalWright03
ODP0926	176.190	6.083	0.96	1.91	Nuttallides umbonifera	3654	LearRosenthalWright03
